item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies,cover
book,Hansons Marathon Method,"Luke Humphrey, Keith Hanson, Kevin Hanson",Luke,Humphrey,9781937715489.0,1937715485,"Run your first marathon or your fastest with Hansons Marathon Method, the revolutionary training program from one of the best running teams in the world, the Hansons-Brooks Distance Project. In Hansons Marathon Method, the coaches of the Hansons-Brooks Distance Project reveal their innovative marathon training program that has helped thousands of runners become true marathoners and smash their personal bests. Hansons Marathon Method tosses out mega-long runs and high-mileage weekends--two old-fashioned running traditions that often injure and discourage runners. Runners using the Hansons method will gradually build up to the moderate-high mileage required for marathon success, spreading those miles more sensibly throughout the week. Running easy days mixed with precisely paced speed, strength, and tempo workouts, runners will steel their bodies and minds to run the hardest final miles of the marathon--and finish strong. In this new second edition, the Hansons program welcomes newer runners with a new Just Finish program featuring a simple schedule of easier running and lower mileage. The Just Finish program sets up first-time marathoners for an enjoyable marathon and a lifetime of strong, healthy running. Hansons Marathon Method will prepare you for your best marathon: Sensible weekly mileage based on science, not outdated traditions Effective Hansons speed, strength, and tempo workouts paced to achieve your goal Crucial nutrition and hydration guidelines to run strong for the whole race A smart and simple Just Finish program for new runners and marathon first-timers Detailed training schedules for experienced and advanced marathoners This revised second edition answers frequently asked questions, shows how to integrate flexibility and strength work into your training week, and shares the most effective recovery methods. Using the Hansons' innovative approach, you will mold real marathon muscles, train your body to avoid the wall, and finish strong. Hansons Marathon Method lays out the smartest marathon training program available from one of the most accomplished running groups in the world. Using their innovative approach, runners will mold real marathon muscles, train their body to never hit the wall, and prepare to run their fastest marathon. ""You might expect a training program devised by the Hanson brothers to be a little different than the usual rehashing of principles and schedules. Given the success of athletes from the Hansons-Brooks Distance Project, you wouldn't be surprised if it was effective, too."" -- Runner's World",VeloPress,2016,Running,to read,,,256.0,,,,,,,,,,,,,2020-05-27,1,9781937715489.jpg
book,Accelerated C++,"Andrew Koenig, Barbara E. Moo",Andrew,Koenig,9780201703535.0,020170353X,"This is a first-rate introductory book that takes a practical approach to solving problems using C++. It covers a much wider scope of C++ programming than other introductory books Ive seen, and in a surprisingly compact format. - Dag Bruck, founding member of the ANSI/ISO C++ committee The authors present a clear, cogent introduction to C++ programming in a way that gets the student writing nontrivial programs immediately. - Stephen Clamage, Sun Microsystems, Inc., and chair of the ANSI C++ committee Anyone reading just this one book and working through the examples and exercises will have the same skills as many professional programmers. - Jeffrey D. Oldham, Stanford University Why is Accelerated C++ so effective? Because it: *Starts with the most useful concepts rather than the most primitive ones: You can begin writing programs immediately. *Describes real problems and solutions, not just language features: You see not only what each feature is, but also how to use it. * Covers the language and standard library together: You can use the library right from the start. The authors proved this approach in their professional-education course at Stanford University, where student",Addison Wesley Professional,2000,Computer Science,to read,,,352.0,,,,,,,,,,,,,2020-05-27,1,9780201703535.jpg
book,Principles for Navigating Big Debt Crises,Ray Dalio,Ray,Dalio,9781732689800.0,1732689806,,Bridgewater Press,2018,Finance,to read,,,456.0,,,,,,,,,,,,,2020-05-27,1,9781732689800.jpg
book,Man Who Solved the Market,Gregory Zuckerman,Gregory,Zuckerman,9780241422151.0,0241422159,,,,Biography,,,,,,,,,,,,,,,,,2020-05-27,1,9780241422151.jpg
book,The Lean Startup,Eric Ries,Eric,Ries,9780670921607.0,0670921602,"Most new businesses fail. But most of those failures are preventable.The Lean Startup is a new approach to business that's being adopted around the world. It is changing the way companies are built and new products are launched.The Lean Startup is about learning what your customers really want. It's about testing your vision continuously, adapting and adjusting before it's too late.Now is the time to think Lean.",Viking,2011,Business,,,,320.0,,,,,,,,,,,,,2020-05-27,1,9780670921607.jpg
book,The Innovator's Dilemma,Clayton M. Christensen,Clayton,Christensen,9781422196021.0,142219602X,"Named one of 100 Leadership &amp; Success Books to Read in a Lifetime by Amazon Editors An innovation classic. From Steve Jobs to Jeff Bezos, Clay Christensen’s work continues to underpin today’s most innovative leaders and organizations. The bestselling classic on disruptive innovation, by renowned author Clayton M. Christensen. His work is cited by the world’s best-known thought leaders, from Steve Jobs to Malcolm Gladwell. In this classic bestseller--one of the most influential business books of all time--innovation expert Clayton Christensen shows how even the most outstanding companies can do everything right--yet still lose market leadership. Christensen explains why most companies miss out on new waves of innovation. No matter the industry, he says, a successful company with established productswill get pushed aside unless managers know how and when to abandon traditional business practices. Offering both successes and failures from leading companies as a guide,The Innovator’s Dilemma gives you a set of rules for capitalizing on the phenomenon of disruptive innovation. Sharp, cogent, and provocative--and consistently noted as one of the most valuable business ideas of all time--The Innovator’s Dilemma is the book no manager, leader, or entrepreneur should be without.",Harvard Business Review Press,2013-11-19,Business,to read,,,288.0,,,,,,,,,,,,,2020-05-27,1,9781422196021.jpg
book,The Wealth of Nations,Adam Smith,Adam,Smith,9780140432084.0,0140432086,"The classic economic treatise that insipired Thomas Piketty's Capital in the Twenty-First Century The publication of The Wealth of Nations in 1776 coincided with America's Declaration of Independence, and with this landmark treatise on political economy, Adam Smith paved the way for modern capitalism, arguing that a truly free market - fired by competition yet guided as if by an 'invisible hand' to ensure justice and equality - was the engine of a fair and productive society. Books I - III of The Wealth of Nations examine the 'division of labour' as the key to economic growth, by ensuring the interdependence of individuals within society. They also cover the origins of money and the importance of wages, profit, rent and stocks, but the real sophistication of his analysis derives from the fact that it encompasses a combination of ethics, philosophy and history to create a vast panorama of society. This edition contains an analytical introduction offering an in-depth discussion of Smith as an economist and social scientist, as well as a preface, further reading and explanatory notes by Andrew Skinner. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Penguin Publishing Group,1982-03-25,Economics,to read,,,544.0,,,,,,,,,,,,,2020-05-27,1,9780140432084.jpg
book,Locke on Government,David Lloyd Thomas,David,Thomas,9780415095334.0,0415095336,"John Locke is one of the most important figures in the history of political thought. His Second Treatise on Government was one of the most significant political statements of its time and provides the foundations of liberal political thought. His views on the social contract, political obligation, rebellion, revolution and property remain strikingly relevant today. Locke on Government introduces and assesses: * Locke's life and the background to the Second Treatise on Government *The text and ideas of the Second Treatise *The continuing importance of Locke's work to philosophy For student's coming to Locke for the first time, Locke on Government will be an invaluable guide to his political thought.",Routledge,1995,Philosophy,to read,,,154.0,,,,,,,,,,,,,2020-05-27,1,9780415095334.jpg
book,Ludwig Wittgenstein: The Duty of Genius,Ray Monk,Ray,Monk,9780099883708.0,0099883708,,,1991,Philosophy,,,,,,,,,,,,,,,,,2020-05-27,1,9780099883708.jpg
book,Homage to Catalonia,George Orwell,George,Orwell,9780141393025.0,0141393025,"'You always, I notice, feel the same when you are under heavy fire - not so much afraid of being hit as afraid because you don't know where you will be hit. You are wondering all the while just where the bullet will nip you, and it gives your whole body a most unpleasant sensitiveness.'",Penguin Classics,2013-01-15,History,to read,,,256.0,,,,,,,,,,,,,2020-05-27,1,9780141393025.jpg
book,The Conquest of Bread,Peter Kropotkin,Peter,Kropotkin,9781502390301.0,1502390302,"This collection of literature attempts to compile many of the classic, timeless works that have stood the test of time and offer them at a reduced, affordable price, in an attractive volume so that everyone can enjoy them.",CreateSpace Independent Publishing Platform,2014-09-16,Politics,to read,,,100.0,,,,,,,,,,,,,2020-05-27,1,9781502390301.jpg
book,Principles of Political Economy,John Stuart Mill,John,Mill,9780140432602.0,0140432604,"The standard economics textbook for more than a generation. For anyone with an interest in the history of economics or the history of ideas, this landmark work of classical economics makes for stimulating and in many respects still very relevant reading.",Penguin Publishing Group,1985,Politics,to read,,,400.0,,,,,,,,,,,,,2020-05-27,1,9780140432602.jpg
book,Fastpacking,Lily Dyu,Lily,Dyu,9781852849573.0,1852849576,"Guidebook to fastpacking - multi-day running trips carrying the bare essentials - in the UK, Europe and beyond. Includes 12 route ideas (all tried and tested), fastpacking stories from around the world (featuring Jez Bragg, Anna Frost and Jasmin Paris), and invaluable tips and tricks to help you prepare for your own running adventure. A summary of each route idea is provided, together with mapping and a gradient profile, as well as highlights, tips and 'tales from the trail'. Invaluable practical information is also included, covering everything you need to know to prepare and plan for a trip: training, accommodation options, safety, equipment, apparel, nutrition, hydration and more. The route ideas and stories featured showcase an impressive range of fastpacking opportunities, both in the UK and abroad. From mountain hut hopping trips, bothy discovery tours and wild camping expeditions, the inspirational tales and selected trails are guaranteed to entice 'everyday' runners to try their hand at a multi-day journey, be it in the Brecon Beacons, Bhutan or beyond.",Cicerone Press,2019-01-31,Running,to read,,,200.0,,,,,,,,,,,,,2020-05-27,1,9781852849573.jpg
book,How To Use Your Enemies,Baltasar Gracian,Baltasar,Gracian,9780141398273.0,0141398272,,,2015-02-25,Politics,to read,,,,,,,,,,,,,,,,2020-05-27,1,9780141398273.jpg
book,"The General Theory of Employment, Interest and Money","John Maynard Keynes, Mark G. Spencer, Tom Griffith",John,Keynes,9781840227475.0,1840227478,"John Maynard Keynes (1883-1946) is perhaps the foremost economic thinker of the twentieth century. On economic theory, he ranks with Adam Smith and Karl Marx; and his impact on how economics was practiced, from the Great Depression to the 1970s, was unmatched. The General Theory of Employment, Interest and Money was first published in 1936. But its ideas had been forming for decades as a student at Cambridge, Keynes had written to a friend of his love for 'Free Trade and free thought'. Keynes's limpid style, concise prose, and vivid descriptions have helped to keep his ideas alive - as have the novelty and clarity, at times even the ambiguity, of his macroeconomic vision. He was troubled, above all, by high unemployment rates and large disparities in wealth and income. Only by curbing both, he thought, could individualism, `the most powerful instrument to better the future', be safeguarded. The twenty-first century may yet prove him right. In The Economic Consequences of the Peace (1919), Keynes elegantly and acutely exposes the folly of imposing austerity on a defeated and struggling nation.",,,Economics,to read,,,,,,,,,,,,,,,,2020-05-27,1,9781840227475.jpg
book,The Social Contract and the Discourses,Jean-Jacques Rousseau,Jean-Jacques,Rousseau,9780679423027.0,0679423028,"  Two works in one volume   Jean-Jacques Rousseau was the first, and the most eloquent and versatile, of that extraordinary line of radical modern thinkers who aimed their disenchantment at the very roots of the human social order and thereby forever reshaped the way we deal with one another. Of Rousseau's many contributions to the tradition he inaugurated, the one for which he is most revered and that makes these pages glow with conviction is his passionate indignation about anything that trammels individual freedom.   This revised edition of G. D. H. Cole's celebrated translation includes an appendix of sections from the first manuscript draft of The Social Contract and the passage in Rousseau's novel Émile in which he summarizes its argument, along with Cole's original preface, which has itself become a classic.   Translated by G. D. H. Cole Revised and augmented by J. H. Brumfitt and John C. Hall",Knopf Doubleday Publishing Group,1993-10-26,Philosophy,to read,,,472.0,,,,,,,,,,,,,2020-05-27,1,9780679423027.jpg
book,The Prince,Niccolo Machiavelli,Niccolo,Machiavelli,,,,Mentor,1935-01-01,Politics,to read,,,127.0,,,,,,,,,,,,,2020-05-27,1,
book,The Communist Manifesto,"Friedrich Engels, Karl Marx",Friedrich,Engels,9780141397986.0,0141397985,,Penguin Classics,2015-01-01,Politics,to read,,,,,,,,,,,,,,,,2020-05-27,1,9780141397986.jpg
book,Wittgenstein,David Pears,David,Pears,9780674539518.0,0674539516,,Harvard University Press,1986-07-01,Philosophy,to read,,,232.0,,,,,,,,,,,,,2020-05-27,1,9780674539518.jpg
book,The Road to Serfdom,Friedrich August Hayek,Friedrich,Hayek,9780415253895.0,0415253896,"Hayek argues convincingly that, while socialist ideals may be tempting, they cannot be accomplished except by means that few would approve of.",Psychology Press,2001,Economics,to read,,,256.0,,,,,,,,,,,,,2020-05-27,1,9780415253895.jpg
book,The Changing Face of China,John Gittings,John,Gittings,9780192806123.0,0192806122,"Where is China heading in the 21st century? Can its Communist Party survive or is it being challenged by growing inequality and unrest? Will the US and China cooperate or compete in a dangerous future? Will China's economic boom be brought to a halt by environmental catastrophe? In thishighly readable account, John Gittings provides the essential information to help answer these vital questions for the world.In the 60 years since Mao Zedong took the road to victory, China has undergone not one but two revolutions. The first swept away the old corrupt society and sought to build a 'spotless' new socialism behind closed doors; the second since Mao's death has focused on an economic agenda which acceptsthe goals of global capitalism. From Mao to the global market, Gittings charts this complex but epic tale and concludes with some hard questions for the future.","Oxford University Press, Incorporated",2005-09-23,Politics,to read,,,384.0,,,,,,,,,,,,,2020-05-27,1,9780192806123.jpg
